Suburb,cluster-1,cluster-2,cluster-3,cluster-4,cluster-5,Cluster group
Stoneville,1.0,0.0,0.0,0.0,0.0,cluster-1
Stratton,1.0,0.0,0.0,0.0,0.0,cluster-1
Subiaco,0.0,0.0,0.0,0.18518518518518517,0.8148148148148148,cluster-5
Success,0.0,0.0,0.0,1.0,0.0,cluster-4
Swan View,1.0,0.0,0.0,0.0,0.0,cluster-1
Swanbourne,0.0,0.0,0.0,0.03508771929824561,0.9649122807017544,cluster-5
Tapping,0.0,0.0,1.0,0.0,0.0,cluster-3
The Vines,0.9863013698630136,0.0,0.0,0.0,0.0136986301369863,cluster-1
Thornlie,0.40816326530612246,0.0,0.0,0.5918367346938775,0.0,cluster-4
Trigg,0.0,0.0,0.0,0.3089430894308943,0.6910569105691057,cluster-5
Tuart Hill,0.0,0.0,0.0,0.9772727272727273,0.022727272727272728,cluster-4
Two Rocks,0.0,0.0,1.0,0.0,0.0,cluster-3
Upper Swan,1.0,0.0,0.0,0.0,0.0,cluster-1
Victoria Park,0.0,0.0,0.0,0.94,0.06,cluster-4
Viveash,1.0,0.0,0.0,0.0,0.0,cluster-1
Waikiki,0.0,0.0,1.0,0.0,0.0,cluster-3
Walliston,1.0,0.0,0.0,0.0,0.0,cluster-1
Wandi,0.0,0.0,0.85,0.075,0.075,cluster-3
Wanneroo,0.0,0.0,0.112,0.8,0.088,cluster-4
Warnbro,0.0,0.0,1.0,0.0,0.0,cluster-3
Warwick,0.0,0.0,0.0,1.0,0.0,cluster-4
Waterford,0.0,0.0,0.0,0.5257731958762887,0.4742268041237113,cluster-4
Watermans Bay,0.0,0.0,0.0,0.40404040404040403,0.5959595959595959,cluster-5
Wattle Grove,1.0,0.0,0.0,0.0,0.0,cluster-1
Wattleup,0.0,0.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,cluster-4
Wellard,0.0,0.0,1.0,0.0,0.0,cluster-3
Wembley,0.0,0.0,0.0,0.3157894736842105,0.6842105263157895,cluster-5
Wembley Downs,0.0,0.0,0.0,0.39090909090909093,0.6090909090909091,cluster-5
West Leederville,0.0,0.0,0.0,0.3181818181818182,0.6818181818181818,cluster-5
West Perth,0.0,0.0,0.0,0.8695652173913043,0.13043478260869565,cluster-4
West Swan,0.7619047619047619,0.0,0.0,0.0,0.23809523809523808,cluster-1
