SUBURB,avg(PRICE),avg(LAND_AREA),avg(FLOOR_AREA),avg(PROPERTY_AGE),avg(PRICE/FLOOR($/m2)),avg(PRICE/LAND($/m2)),avg(Land/Floor)
Mount Nasura,479858.14814814815,1361.7259259259258,173.8740740740741,33.666666666666664,2871.6992476804166,494.8050961537422,7.866675436289377
Seville Grove,337000.0,603.7583333333333,154.60833333333332,17.72897196261682,2263.3373066440863,582.4852619052527,4.182268765370371
Alexander Heights,453285.15625,627.703125,168.8828125,24.434782608695652,2809.8769419500545,740.0049492635824,4.009197588458678
Two Rocks,481004.1647058824,3118.8,190.63529411764705,23.105263157894736,2721.8556463217183,443.7111598933549,13.267668695846712
Calista,298482.6923076923,747.5192307692307,114.89423076923077,43.916666666666664,2688.2357252572338,439.59192699224707,6.917263149666368
Jane Brook,506568.1641791045,689.681592039801,194.91044776119404,14.575,2681.9998139078307,762.1946659123716,3.6767306226674954
Mundijong,428308.9393939394,2272.257575757576,146.33333333333334,33.333333333333336,3080.0981832906587,337.2996784239413,15.751932526738408
North Perth,849586.6666666666,402.6,146.78666666666666,60.42028985507246,6060.451333151283,2378.14271082642,2.9555341392850947
Millendon,935636.3636363636,31514.545454545456,206.27272727272728,39.09090909090909,4810.485898032733,34.961708612950005,154.58059428216023
Marmion,1024528.5714285715,693.2190476190476,225.1238095238095,27.990291262135923,4839.513491517147,1700.6471961722384,3.350854210033572
Hammond Park,528643.679245283,724.5943396226415,198.46226415094338,9.601941747572816,2715.5307297169657,1051.1620349502562,3.921216198148761
Belmont,505116.58904109587,590.6849315068494,156.6027397260274,33.2,3502.0123251258765,1092.3533109829539,4.409277674181506
High Wycombe,435423.7804878049,675.939024390244,161.9268292682927,24.70440251572327,2786.36797800214,692.0028855216584,4.571288742757508
Balcatta,524628.1690140845,609.3098591549295,152.94366197183098,27.985294117647058,3651.5755281227903,1323.077003802215,4.308867416262383
Treeby,595000.0,400.5,229.0,3.0,2698.4790571747094,1490.0967151913005,1.8000875935658542
Jandakot,737267.3944444444,1988.3222222222223,250.88888888888889,16.24550898203593,3019.8291816972055,1040.350534490528,7.791140800259839
Hamersley,560256.652892562,740.099173553719,165.10743801652893,40.773109243697476,3540.7123119856847,793.1107098438861,4.784933629569586
Willetton,708481.7704918033,719.2131147540983,173.27868852459017,37.20338983050848,4304.6546779659775,989.0184282087816,4.458406100827617
Attadale,1192734.7105263157,659.7631578947369,228.09649122807016,33.839285714285715,5545.656195899521,1985.5992470292222,3.0990142434342958
Atwell,542581.7846153846,594.1589743589743,191.12307692307692,16.46590909090909,2929.5281499778434,967.5734941051265,3.2037932458956724
Hillman,313948.5981308411,728.5607476635514,131.19626168224298,38.056603773584904,2489.0267315102997,435.84293413101346,5.817943228157895
Safety Bay,446946.07843137253,738.156862745098,168.00980392156862,35.33684210526316,2755.614684782143,626.4284907385888,4.753675078017998
Sawyers Valley,580888.679245283,11644.566037735849,169.18867924528303,32.18867924528302,3626.853517430216,134.71478870738235,79.96749555868949
Stoneville,613209.0163934426,10259.803278688525,188.1639344262295,27.951923076923077,3436.997729858974,157.91277872159384,52.11048733658441
Cloverdale,438314.28571428574,652.6285714285714,142.88571428571427,32.38235294117647,3352.611748076149,787.0105231687444,5.122207412903625
Beckenham,405862.6857142857,726.1714285714286,141.92857142857142,34.67164179104478,3030.6770000078664,637.3205739603459,5.3921089507107585
Koongamia,339799.224137931,709.8965517241379,112.15517241379311,45.5,3306.386787435928,486.9671473127467,6.880837944586026
Kiara,445764.367816092,578.3448275862069,150.2528735632184,22.238095238095237,3115.6108375832905,798.5360198056762,4.0391941947408725
